raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Brandine Del Roy,665,108,817,96.64808862,1.308531746
Chazz Busby,661,94,876,87.5802085,2.790570863
Young Grampa,658,116,828,94.62035714,1.470873598
Eddie,615,129,744,99.65068066,0.544424277
Young Marge,606,94,787,90.42317253,2.248677761
Tab Spangler,604,105,746,96.50692936,1.227600757
Adult Lisa,602,91,775,91.20842448,2.1810299
Director,601,129,809,88.22700022,2.110836977
Producer,595,85,789,87.54613445,2.787394958
Julio,595,92,755,92.92101799,1.905391852
Jakob,595,95,791,88.00965944,2.539690402
Manager,587,88,760,90.53126887,2.289160407
Executive,585,92,802,84.39938545,3.066985321
Raymondo,581,86,766,88.43981097,2.602082416
Lisa's Thoughts,579,105,718,96.32815544,1.193386627
Arnie Pye,575,72,742,89.55831461,2.751713768
Pilot,572,75,787,82.69498228,3.619714685
John,561,100,706,94.67453984,1.447810873
Shauna Chalmers,557,93,679,97.62593193,1.130366595
Cowboy Bob,554,93,677,97.40562342,1.153081402
Hans Moleman,547,117,701,93.67174221,1.355453991
Female Executive,544,90,770,80.95356536,3.469539216
Judge Harm,542,85,756,82.35993032,3.35586412
Ray Magini,535,89,737,84.1911656,3.009709125
Lady Gaga,529,108,693,91.03578039,1.77850084
Wayne,526,77,668,92.46258037,2.059707175
Bar Rag,526,60,714,83.09957098,3.846490494
Clerk,522,95,664,93.644049,1.562909054
Commandant,522,68,725,81.54338235,3.792712418
Herman Hermann,520,86,676,90.7177907,2.108139535
ELON MUSK,519,106,746,80.26301805,3.2806073
Diggs,516,76,678,88.78321909,2.5625459
Squeaky-Voiced Teen,509,92,657,92.02058096,1.798758649
Teacher,505,83,676,87.41266492,2.578535131
HUGH,505,82,673,87.83992695,2.537373823
Jay,494,76,635,91.49053644,2.113016194
Zack,490,84,620,93.86926871,1.615612245
GOODMAN,481,77,652,85.81845398,2.841244161
Parson,471,49,602,88.94863512,3.240728801
Rowan Priddis,469,38,653,76.51714482,5.65284536
Little Vicki,467,82,593,93.62875529,1.614823471
Warden,463,71,607,89.30417729,2.423217838
God,463,90,582,95.2695444,1.249162707
Emily,462,69,615,87.42202993,2.729096556
Nurse,460,105,619,88.54615942,1.997267081
Homer's Thoughts,459,81,564,97.13039216,1.119346405
CHLOE,457,74,610,87.64327562,2.569060559
Akira,452,80,601,88.6121969,2.303323009
Hobo,452,58,558,94.48517699,2.016566982
Teenage Bart,446,85,553,96.61282274,1.087294645
Bill Clinton,446,64,611,83.86351247,3.293283352
Eduardo,446,69,563,93.48100182,1.82638526
Jack,444,79,525,101.0966593,0.554601437
Cheech,444,80,538,98.69093919,0.872698198
LANLEY,435,64,558,91.41479256,2.197332974
Dr. Zander,434,70,595,84.55812903,3.005419355
